tid,mjd,fid,diffmaglim
ztf,58873.533692100085,2,20.3752
ztf,58873.556053199805,1,20.5471
ztf,58876.53444440011,1,20.4647
ztf,58876.572731500026,2,20.1855
ztf,58879.509178199805,1,19.4423
ztf,58879.548796299845,2,19.4043
ztf,58885.468599500135,1,19.1566
ztf,58885.544455999974,2,20.4384
ztf,58888.51114579989,2,18.9786
ztf,58936.48790509999,1,20.5679
ztf,58939.4453125,1,19.1173
ztf,58939.497002299875,2,17.1794
ztf,58943.453356499784,1,20.011
ztf,58955.46895830007,1,20.5435
ztf,58956.391076399945,1,19.6039
ztf,58964.38620370021,1,20.8411
ztf,58967.45195600018,1,20.832
ztf,58976.35442129988,2,19.4588
ztf,58976.472071799915,1,19.604
ztf,58979.26421299996,1,19.8413
ztf,58994.409861099906,1,20.8611
ztf,58996.32474539988,1,20.8994
ztf,58997.30335649988,2,20.7048
ztf,58998.30971059995,2,20.7014
ztf,58998.371712999884,1,21.0471
ztf,58999.40336810006,1,20.4837
ztf,59000.30053240014,1,20.0348
ztf,59000.38718750002,2,18.6795
ztf,59000.41251160018,1,19.8648
ztf,59001.27885420015,2,20.2733
ztf,59001.415138899814,1,20.7059
ztf,59004.223715300206,1,19.5663
ztf,59004.28460650006,2,19.8703
ztf,59005.22292819992,1,19.3796
ztf,59005.28412039997,2,15.6005
ztf,59008.31224540016,1,19.9424
ztf,59011.28064810019,1,20.8089
ztf,59014.34248840017,1,20.8204
ztf,59015.326203700155,2,20.6256
ztf,59016.338368100114,1,20.4131
ztf,59017.31056710007,1,21.0817
ztf,59023.32608800009,1,20.9808
ztf,59024.28844910022,1,20.8003
ztf,59025.248749999795,1,20.9069
ztf,59026.28178239986,2,19.3004
ztf,59026.3651389,1,20.8266
ztf,59027.242858800106,1,20.352
ztf,59028.34096059995,1,20.8572
ztf,59029.287696800195,1,19.9146
ztf,59030.37189809978,1,20.3163
ztf,59031.196030099876,1,20.0174
ztf,59032.39265049994,1,19.9969
ztf,59033.2213773001,1,19.8027
ztf,59033.23699070001,1,19.9197
ztf,59033.33035880001,2,20.0628
ztf,59034.21609950019,1,19.7075
ztf,59034.340173599776,2,19.8729
ztf,59035.3289005002,2,19.7741
ztf,59037.27002310008,1,20.1345
ztf,59038.246724499855,1,20.4272
ztf,59041.222870400175,1,20.7744
ztf,59044.31721059978,1,20.7118
ztf,59047.26354169985,1,20.895
